Epoch,Loss,Accuracy,Time,Memory_Profiler,Memory_Allocated
1,7.11328125,0.02,9.014035000000002,0.06799052799999934,0.223613952
2,7.11328125,0.02,13.700333,-0.031391744000000874,0.199621632
3,7.11328125,0.02,18.334621,-0.007449600000000766,0.223613952
4,7.11328125,0.02,23.253646999999997,-0.0314419200000013,0.223613952
5,7.11328125,0.02,28.170738999999998,-0.005841920000001176,0.223613952
6,7.11328125,0.02,32.560694,-0.03144192000000108,0.223613952
7,7.11328125,0.02,36.905958,-0.03144192000000108,0.223613952
8,7.11328125,0.02,41.239948,-0.031441920000000796,0.223613952
9,7.11328125,0.02,46.077966999999994,-0.03144192000000108,0.223613952
10,7.11328125,0.02,50.78925799999999,-0.03144192000000119,0.223613952
11,7.11328125,0.02,55.609734999999986,-0.031441920000000956,0.223613952
12,7.11328125,0.02,59.921058999999985,-0.02504192000000116,0.223613952
13,7.11328125,0.02,64.22727399999998,-0.03144192000000113,0.223613952
14,7.11328125,0.02,68.52464799999997,-0.005841920000001287,0.223613952
15,7.11328125,0.02,72.83062999999997,-0.025041920000001112,0.223613952
16,7.11328125,0.02,77.17796099999997,-0.03144192000000108,0.223613952
17,7.11328125,0.02,82.04156399999997,-0.031391744000001116,0.223613952
18,7.11328125,24.29,86.95101599999997,0.007529983999999084,0.223007232
19,5.25,33.37,91.33978099999997,-0.030264320000001087,0.223007232
20,3.662109375,34.63,95.67495299999997,-0.030264320000001406,0.223007232
21,2.88671875,34.46,100.01734099999997,-0.017464320000001386,0.223007232
22,2.3515625,37.1,104.40084499999998,-0.030264320000001087,0.223007232
23,2.037109375,41.17,108.79461799999997,-0.030264320000001357,0.223007232
24,1.8125,42.44,113.23151099999997,-0.030264320000001024,0.223007232
25,1.7109375,46.1,117.58399499999997,0.04733081599999887,0.223007232
26,1.5732421875,47.23,121.97455899999997,-0.030213632000001215,0.223007232
27,1.4853515625,49.43,126.82042199999998,-0.03026329600000107,0.223007232
28,1.419921875,50.17,131.73375499999997,-0.03026380800000096,0.223007232
29,1.3701171875,51.42,136.58738799999998,-0.030264320000001135,0.223007232
30,1.3154296875,52.339999999999996,140.91682799999998,-0.030264320000000976,0.223007232
31,1.2724609375,53.300000000000004,145.26730999999998,-0.030264320000001087,0.223007232
32,1.2294921875,54.52,149.686444,-0.03026432000000131,0.223007232
33,1.1845703125,55.71,154.139769,-0.017464320000001435,0.223007232
34,1.146484375,56.47,158.629638,-0.03026432000000107,0.223007232
