losses,accuracies,cum_times
[tensor(2.5182, device='cuda:0'), 1.7938198804855348, 1.3779348611831665, 1.2830798149108886, 1.2502197742462158, 1.1602708101272583, 1.0420239925384522, 1.023174524307251, 0.9651177763938904, 0.8851723194122314, 0.829137647151947, 0.822999894618988, 0.7271242737770081, 0.6310405611991883, 0.5887808799743652, 0.5583296060562134, 0.5140317678451538, 0.4797187685966492, 0.4542400360107422, 0.42705451250076293, 0.4006281435489655, 0.37255807518959044, 0.3487001836299896, 0.30712651014328, 0.28577975034713743, 0.2650198519229889, 0.2521229773759842, 0.23273711204528807, 0.16279747784137727, 0.14243037700653077, 0.12920503318309784, 0.11544882208108902, 0.10273329615592956, 0.09262490421533584, 0.08378878384828567, 0.07553333044052124, 0.06760043501853943, 0.06042681485414505, 0.05509373918175697, 0.049965324252843855, 0.043795475363731386, 0.039166593551635744, 0.03456391617655754, 0.02992212548851967, 0.02755248248577118, 0.023561692237854003, 0.018378217704594135, 0.01366388238966465, 0.011593987792730331, 0.010041130520403386, 0.008646554872393608],[9.7, 41.27, 46.71, 49.76, 49.38, 52.41, 52.75, 53.14, 54.39, 54.98, 55.55, 54.32, 56.62, 56.77, 57.04, 56.99, 56.93, 56.51, 56.67, 56.56, 56.18, 56.66, 56.49, 56.4, 56.59, 56.45, 56.27, 56.49, 57.14, 57.13, 56.6, 57.06, 56.64, 57.08, 56.61, 56.69, 56.58, 56.53, 56.78, 56.4, 56.34, 56.41, 56.19, 56.35, 56.5, 56.57, 56.53, 56.52, 56.43, 56.62, 56.39],[  19.18468451   92.81865954  158.94897175  230.57633114  296.51174617
  365.18821073  431.33025217  505.84912634  582.28209448  653.69786143
  725.37538218  798.6838243   869.93652797  930.73667312  996.64140058
 1069.17653751 1139.93924832 1208.83013034 1280.91852522 1352.22028208
 1421.03561664 1492.97337651 1565.32613444 1633.16676116 1706.89426064
 1779.71399856 1848.26563144 1920.68562579 1987.75955796 2049.09294438
 2119.74596262 2187.94291496 2253.24880624 2324.23191833 2389.35360718
 2457.73536038 2527.88945651 2596.78346634 2673.07490611 2744.15708351
 2823.66636562 2897.81144452 2973.19705892 3045.20851159 3118.0257237
 3199.64061737 3270.9749918  3332.75081873 3374.44011807 3421.49556589
 3463.31854796]
[tensor(0.0087, device='cuda:0'), 0.007685567904263735, 0.006532722245901823, 0.005831846967339516, 0.005201828200370073, 0.004420304764062166, 0.003937729494646191, 0.0034404110163450243, 0.003186566708609462, 0.002781050279736519, 0.0023720783181488516, 0.002097974717617035, 0.0018415045691654087, 0.001648132037371397, 0.001412036269903183, 0.001225957297720015, 0.0011127793695777655, 0.0009476352715864778, 0.0008441890124231577, 0.0007257640711031855, 0.0006402948056347668, 0.0005594261921942234, 0.00048481885460205376, 0.00041361639159731567, 0.0003610677260439843, 0.0003119195462204516, 0.0002847296476829797, 0.0002405914623523131, 0.00021070410730317235, 0.00017473745974712075, 0.00016188236768357455, 0.00014349643897730856, 0.00015550439711660148, 0.00011054282949771733, 0.00010659217659849673, 0.00010003619245253503, 8.999382553156465e-05, 7.637737289769574e-05, 6.611525532207452e-05, 5.844206316396594e-05, 5.35797662450932e-05, 4.5775374019285664e-05, 4.044556189910509e-05, 3.83532744308468e-05, 3.3648457974777554e-05, 2.9681412706850095e-05, 2.5307338364655153e-05, 2.2414869818021543e-05, 2.069930560537614e-05, 1.8259798889630473e-05, 1.6657495143590496e-05],[56.39, 56.22, 56.55, 56.25, 56.19, 56.14, 56.33, 56.08, 56.23, 56.32, 56.1, 55.99, 56.35, 56.04, 56.24, 56.06, 55.79, 56.32, 55.94, 55.79, 55.8, 55.84, 56.05, 56.1, 55.73, 55.97, 55.71, 55.84, 55.76, 55.96, 56.01, 55.98, 56.06, 55.84, 55.99, 55.72, 55.53, 55.79, 55.9, 55.82, 55.61, 55.82, 55.68, 55.52, 55.74, 55.35, 55.84, 55.64, 55.68, 55.58, 55.73],[1.97217464e-02 4.75830600e+01 9.70196733e+01 1.67469702e+02
 2.38806096e+02 3.00678754e+02 3.59459155e+02 4.11630652e+02
 4.84948499e+02 5.56225036e+02 6.06663698e+02 6.49844141e+02
 6.99619370e+02 7.72606363e+02 8.24341197e+02 8.75893971e+02
 9.48911375e+02 1.01343035e+03 1.08639803e+03 1.14939698e+03
 1.20477628e+03 1.27769727e+03 1.32111500e+03 1.37239438e+03
 1.42328874e+03 1.47509112e+03 1.55099802e+03 1.61440589e+03
 1.66669956e+03 1.71015633e+03 1.75640588e+03 1.80751577e+03
 1.88327436e+03 1.92785003e+03 1.98982327e+03 2.06328867e+03
 2.12795060e+03 2.17121655e+03 2.22380590e+03 2.26774301e+03
 2.31301445e+03 2.35727132e+03 2.40259600e+03 2.45486418e+03
 2.49888253e+03 2.54977315e+03 2.59391207e+03 2.64613817e+03
 2.68989631e+03 2.74124759e+03 2.78723288e+03]
