losses,accuracies,cum_times
"[7.378810882568359, 2.1579867124557497, 1.9893281877040863, 1.8469260215759278, 1.9923323094844818, 1.6631071746349335, 1.6369650065898895, 1.6346919655799865, 1.5198291718959809, 1.691825556755066, 1.455429095029831, 1.5812949061393737, 2.04670193195343, 1.517514842748642, 1.4412540733814239, 1.3682316303253175, 1.5248905539512634, 1.2717519521713256, 1.3527658462524415, 1.5690662443637848, 1.5343319714069366, 1.3420142948627471, 0.9379914432764054, 0.9524504512548446, 1.5806967973709107, 1.014464345574379]","[0.03, 28.35, 31.94, 25.89, 36.53, 41.06, 42.64, 39.67, 46.65, 39.81, 47.27, 29.37, 29.49, 49.15, 40.48, 45.01, 52.94, 59.81, 50.76, 26.33, 50.54, 60.43, 66.56, 58.22, 50.19, 56.73]","[  12.71519184   63.46151876  116.30860543  163.66891932  211.14274859
  256.05544782  308.72614384  356.40887475  402.69828105  457.05118918
  497.19424582  550.30586219  608.592345    662.05670118  717.15170312
  772.61125994  833.18902183  892.70483088  952.52250338 1019.14259386
 1073.34081554 1131.45164394 1183.19008732 1240.95409679 1303.31637025
 1361.73162913]"
"[7.212403774261475, 2.171828055381775, 1.742210429906845, 1.692675817012787, 1.7266562223434447, 1.822520250082016, 1.5107299506664276, 1.4409186482429504, 1.574284940958023, 1.6569483578205109, 1.7054400265216827, 1.9468020379543305, 1.7780785024166108, 1.4856474995613098, 1.2531376719474792, 1.4287621438503266, 1.0872661769390106, 1.1546351790428162, 1.3710606336593627, 1.2195430636405944, 1.5163411319255828, 1.162018296122551, 0.7199471205472946, 0.9964611381292343, 1.1432868361473083, 0.7631237268447876]","[0.02, 32.63, 39.77, 42.45, 27.9, 43.01, 42.11, 47.19, 24.51, 46.79, 30.83, 39.42, 39.64, 47.31, 49.98, 55.11, 61.5, 53.5, 58.93, 56.26, 44.9, 67.72, 62.06, 54.27, 63.88, 58.03]","[   2.04380465   50.23302054   92.94449139  138.61967111  189.56906915
  236.59892154  284.34314466  337.12681317  391.568367    448.1020472
  502.9171257   559.67664146  612.20428729  665.30639458  716.95705557
  771.98721385  824.36535192  882.68534756  953.89778423 1029.33816481
 1108.68081045 1190.29570532 1261.74109268 1353.49976182 1441.83711457
 1531.33190894]"
"[7.081094264984131, 2.1889495670795442, 1.7216732442378997, 1.652543443441391, 1.5915400862693787, 1.6256661057472228, 1.9531843483448028, 1.5507798433303832, 1.5906808078289032, 1.5645597159862519, 1.9240481853485107, 1.658059012889862, 1.540296995639801, 1.6674367606639862, 1.3319684386253356, 1.2350881755352021, 1.5047240555286407, 1.7182929694652558, 1.5904188632965088, 1.0681209862232208, 1.0452392667531967, 1.4532341659069061, 1.0286179423332213, 0.7717417389154434, 1.2679727703332901, 1.2896094650030137]","[0.45, 34.05, 35.28, 42.0, 33.01, 29.54, 39.59, 42.56, 44.32, 34.72, 39.42, 46.28, 40.25, 41.79, 54.74, 33.63, 33.28, 49.42, 48.56, 62.31, 45.16, 50.29, 65.35, 54.76, 61.57, 63.18]","[   2.04433894   53.8945694   103.26008081  155.38305974  211.25634551
  261.60652351  314.31344604  355.21862435  406.61070848  456.04475927
  510.15346122  560.90384054  615.81410193  669.29825354  726.60876441
  780.62514567  835.4940865   886.36101604  943.10645866  994.85690141
 1046.33612609 1109.42172456 1171.92175293 1228.14363003 1301.49059415
 1373.3751626 ]"
