epoch,min,max,mean
0,6.64,13.04,9.812
1,41.01,64.97,52.729
2,67.7,75.02,72.03299999999999
3,70.88,76.63,74.306
4,73.81,77.73,75.998
5,75.33,78.96,77.388
6,76.87,79.77,78.381
7,77.67,80.22,79.01500000000001
8,78.21,80.54,79.45899999999999
9,78.74,80.83,79.85600000000002
10,79.29,83.14,81.61099999999999
11,79.64,84.05,82.33099999999999
12,82.39,83.91,83.112
13,81.9,85.52,83.255
14,82.27,85.42,83.59700000000001
15,82.37,85.24,83.601
16,82.45,85.12,83.671
17,82.48,85.21,83.725
18,82.54,85.27,83.801
19,82.57,85.25,83.864
20,82.7,85.36,83.973
21,82.86,85.35,84.004
22,83.02,85.42,84.133
23,83.19,85.5,84.309
24,83.34,85.59,84.554
25,82.44,88.18,84.66799999999999
26,82.6,88.13,84.78099999999999
27,82.7,88.11,84.829
28,82.71,88.05,84.94500000000001
29,82.79,88.01,85.001
30,82.81,87.99,85.176
31,82.9,88.0,85.19300000000001
32,83.01,88.05,85.228
33,83.06,88.09,85.72999999999999
34,83.13,88.11,85.731
35,83.21,88.11,85.79099999999998
36,83.3,88.34,85.95599999999999
37,83.29,88.5,86.05300000000001
38,83.41,89.2,86.48500000000001
39,83.47,89.38,86.62
40,83.49,89.47,87.27000000000001
41,83.5,89.6,87.236
42,83.66,89.69,87.318
43,84.66,89.72,87.66499999999999
44,84.7,90.98,88.068
45,84.73,91.09,88.09400000000001
46,84.78,91.36,89.074
47,84.9,91.93,89.32900000000001
48,85.01,91.97,89.412
49,85.1,92.17,89.50000000000001
50,85.15,92.3,89.57900000000002
51,85.28,92.44,89.98499999999999
52,85.37,92.51,90.053
53,85.45,92.56,90.116
54,85.57,92.57,90.199
55,85.68,92.6,90.27199999999999
56,85.82,92.61,90.34899999999999
57,85.98,92.6,90.578
58,87.49,92.57,91.16799999999999
59,87.52,92.59,91.227
60,90.3,92.62,91.616
61,90.36,92.64,91.65799999999999
62,90.39,92.62,91.72099999999999
63,90.43,92.66,91.777
64,90.51,92.67,91.842
65,90.55,93.14,91.94000000000001
66,90.59,93.14,92.03299999999999
67,90.63,93.14,92.078
68,90.68,93.14,92.11800000000001
69,90.71,93.18,92.21500000000002
70,90.78,93.24,92.263
71,90.81,93.24,92.291
72,90.85,93.26,92.327
73,90.87,93.3,92.408
74,90.93,93.32,92.43699999999998
75,90.97,93.36,92.47999999999999
76,91.03,93.36,92.57900000000001
77,91.04,93.38,92.66499999999999
78,91.09,93.8,92.809
79,91.12,93.84,92.85499999999999
80,91.16,93.85,92.87200000000001
81,91.15,93.85,92.914
82,91.99,93.89,93.025
83,91.98,93.9,93.03399999999999
84,92.07,93.9,93.16400000000002
85,92.0,94.31,93.271
86,92.28,94.28,93.31199999999998
87,92.55,94.32,93.41499999999998
88,92.56,94.35,93.453
89,92.6,94.43,93.509
90,92.6,94.42,93.512
91,92.64,94.43,93.53599999999999
92,92.65,94.41,93.60299999999998
93,92.69,94.45,93.608
94,93.1,94.56,93.74199999999999
95,93.14,94.63,93.82199999999999
96,93.14,94.66,93.85199999999999
97,93.16,94.68,93.925
98,93.22,94.69,94.005
99,93.21,94.71,94.061
100,93.24,94.72,94.076
