epoch,min,max,mean
0,9.2,10.96,10.09
1,25.46,30.9,27.208
2,27.49,32.51,28.774
3,28.55,33.44,29.862000000000002
4,29.96,35.33,31.99
5,31.23,39.17,34.07000000000001
6,32.08,40.42,34.942
7,32.84,41.05,35.714
8,33.94,42.21,37.586
9,34.73,43.64,39.046
10,39.07,44.28,41.489999999999995
11,40.1,44.4,42.482
12,41.04,45.25,43.696
13,41.72,46.0,44.233999999999995
14,43.13,46.82,44.916
15,43.89,46.91,45.464
16,44.22,46.86,45.910000000000004
17,45.17,47.45,46.548
18,45.33,47.84,46.614
19,46.29,48.13,47.168
20,46.53,48.49,47.540000000000006
21,46.87,48.34,47.688
22,46.63,48.73,47.89999999999999
23,46.73,48.75,47.81999999999999
24,47.56,48.48,47.934
25,48.04,48.85,48.482000000000006
26,48.34,48.91,48.652
27,48.47,49.42,48.84
28,48.3,48.92,48.60600000000001
29,48.57,49.33,49.016000000000005
30,48.53,49.9,49.141999999999996
31,48.72,49.81,49.291999999999994
32,48.95,49.94,49.486000000000004
33,49.08,50.27,49.542
34,49.15,50.28,49.716
35,49.2,50.58,49.696000000000005
36,49.6,50.64,49.952
37,49.42,50.28,49.872
38,49.43,50.54,49.928
39,50.06,50.84,50.44
40,49.87,50.72,50.182
41,50.27,50.84,50.51400000000001
42,49.79,51.04,50.592
43,49.96,51.28,50.56400000000001
44,50.48,51.57,50.86
45,50.81,51.61,51.14
46,50.85,51.7,51.104
47,50.24,51.97,51.24400000000001
48,50.82,51.85,51.246
49,50.72,52.24,51.477999999999994
50,51.14,52.33,51.576
51,50.7,51.81,51.410000000000004
52,51.09,52.19,51.544000000000004
53,50.92,51.94,51.513999999999996
54,51.16,51.83,51.604
55,50.59,52.22,51.64
56,51.18,52.15,51.614
57,51.31,52.63,51.818000000000005
58,51.34,51.68,51.507999999999996
59,51.87,52.36,52.064
60,51.4,52.61,51.992
61,51.46,52.81,52.132000000000005
62,51.74,52.07,51.95399999999999
63,51.08,52.69,52.041999999999994
64,51.75,52.28,51.962
65,51.89,52.91,52.288
66,51.45,52.96,52.348
67,52.01,52.43,52.136
68,52.31,52.61,52.477999999999994
69,51.75,52.75,52.158
70,52.12,52.72,52.45799999999999
71,51.54,52.88,52.370000000000005
72,52.33,52.73,52.556
73,52.2,53.02,52.61600000000001
74,52.63,53.23,52.924
75,51.76,53.1,52.17
76,52.27,53.23,52.63000000000001
77,52.4,52.99,52.658
78,51.74,53.3,52.576
79,52.58,52.81,52.708000000000006
80,52.35,53.22,52.907999999999994
81,52.1,53.3,52.79599999999999
82,51.9,53.34,52.632000000000005
83,52.59,53.55,52.977999999999994
84,52.34,53.19,52.91600000000001
85,52.57,53.19,52.88199999999999
86,52.37,53.43,52.882000000000005
87,52.23,53.37,52.842
88,52.7,53.37,53.105999999999995
89,52.78,53.43,53.08
90,52.46,53.41,53.068
91,52.66,53.27,53.080000000000005
92,53.1,53.9,53.426
93,52.43,53.83,53.028
94,52.5,53.48,53.184000000000005
95,52.71,53.9,53.334
96,52.57,53.84,53.286
97,52.6,53.64,53.248000000000005
98,52.48,53.66,53.13799999999999
99,52.99,53.58,53.322
100,52.19,53.78,53.220000000000006
