epoch,min,max,mean
0,9.2,10.96,10.09
1,26.25,30.67,28.113999999999997
2,27.38,32.31,29.582
3,28.47,33.25,30.610000000000003
4,29.89,34.39,31.644
5,31.13,35.1,32.8
6,31.95,35.71,33.616
7,32.89,36.52,34.467999999999996
8,33.99,37.19,35.336
9,34.81,40.15,37.00000000000001
10,35.51,41.52,38.066
11,36.07,42.27,38.7
12,36.88,42.92,40.09000000000001
13,40.2,43.37,41.983999999999995
14,41.42,43.53,42.618
15,42.17,45.04,43.468
16,42.71,45.34,44.078
17,43.31,45.46,44.532
18,44.68,45.93,45.15
19,43.83,46.14,45.088
20,45.06,46.32,45.602
21,45.61,46.52,46.008
22,46.08,46.87,46.3
23,45.17,46.46,45.956
24,46.25,46.92,46.574
25,46.56,47.36,46.879999999999995
26,45.07,47.49,46.782000000000004
27,46.32,47.61,47.108000000000004
28,46.81,47.89,47.39
29,46.95,47.93,47.48800000000001
30,46.89,48.02,47.624
31,46.92,48.04,47.644
32,47.13,48.2,47.83200000000001
33,47.16,48.39,47.903999999999996
34,47.18,48.44,47.99
35,47.08,48.54,47.914
36,47.37,48.62,48.146
37,47.29,48.66,48.17
38,47.42,48.87,48.260000000000005
39,47.49,49.05,48.146
40,47.76,49.15,48.404
41,47.5,49.16,48.529999999999994
42,46.62,49.3,48.474000000000004
43,47.8,49.48,48.728
44,47.77,49.55,48.733999999999995
45,47.93,49.67,48.882
46,48.19,49.61,49.018
47,48.39,49.71,49.072
48,48.6,49.8,49.16
49,48.58,49.77,49.2
50,48.78,49.75,49.29
51,48.68,49.97,49.33200000000001
52,48.69,49.96,49.403999999999996
53,47.86,50.18,49.048
54,48.75,50.09,49.438
55,48.93,50.38,49.64
56,48.94,50.45,49.73799999999999
57,49.15,50.4,49.602000000000004
58,49.01,50.26,49.711999999999996
59,48.76,50.06,49.483999999999995
60,49.34,50.23,49.775999999999996
61,49.61,50.53,49.989999999999995
62,49.88,50.64,50.184000000000005
63,49.81,50.72,50.09
64,49.2,50.52,49.998000000000005
65,49.98,50.68,50.274
66,50.06,50.95,50.44
67,48.79,50.96,50.029999999999994
68,49.29,50.9,50.168
69,49.81,51.0,50.414
70,50.02,51.12,50.562
71,50.39,51.17,50.717999999999996
72,50.35,51.17,50.748000000000005
73,48.78,50.53,49.998000000000005
74,49.48,50.95,50.474
75,49.82,51.34,50.824
76,49.94,51.47,50.848
77,50.09,51.63,51.059999999999995
78,50.16,51.56,51.068
79,49.69,51.03,50.676
80,50.36,51.32,50.980000000000004
81,50.91,51.6,51.275999999999996
82,50.81,51.85,51.327999999999996
83,50.78,51.46,51.09
84,49.78,51.4,50.916
85,50.41,51.66,51.154
86,50.71,51.7,51.3
87,50.44,51.84,51.108
88,51.06,51.43,51.248000000000005
89,49.44,51.69,51.162
90,50.75,51.97,51.577999999999996
91,50.4,52.06,51.33
92,50.96,52.07,51.354
93,51.3,51.79,51.524
94,51.1,51.92,51.706
95,51.55,52.13,51.903999999999996
96,51.81,52.14,52.008
97,50.48,51.83,51.158
98,51.17,51.98,51.55799999999999
99,51.41,52.24,51.86600000000001
100,51.58,52.31,51.962
