epoch,min,max,mean
0,9.2,10.96,10.09
1,27.58,36.49,32.388
2,33.38,38.85,36.626
3,37.35,40.74,39.592
4,38.64,41.8,40.824
5,40.72,43.05,42.428000000000004
6,41.86,44.29,43.245999999999995
7,42.72,44.5,44.028
8,43.38,45.34,44.63
9,44.18,46.17,44.95400000000001
10,44.59,46.14,45.58800000000001
11,45.46,46.94,46.257999999999996
12,45.75,47.27,46.760000000000005
13,45.46,47.38,46.836
14,45.82,48.02,47.076
15,45.89,48.15,47.346000000000004
16,45.54,48.62,47.362
17,46.92,49.27,48.148
18,46.25,48.94,48.152
19,46.83,49.35,48.322
20,46.95,49.39,48.492
21,46.98,49.48,48.553999999999995
22,47.25,49.52,48.624
23,47.73,49.91,49.016
24,47.73,49.85,48.99399999999999
25,47.39,50.48,49.260000000000005
26,48.39,50.16,49.38199999999999
27,48.47,50.73,49.554
28,48.54,50.64,49.902
29,48.35,50.61,49.662
30,49.51,50.98,50.258
31,49.22,51.03,50.19799999999999
32,49.63,51.25,50.507999999999996
33,49.45,51.06,50.35600000000001
34,49.34,51.35,50.480000000000004
35,50.05,51.01,50.504000000000005
36,50.54,51.44,50.983999999999995
37,50.72,51.65,51.12
38,50.48,51.66,50.99999999999999
39,49.44,51.43,50.614
40,50.67,51.82,51.334
41,50.41,51.97,51.286
42,50.43,52.1,51.35
43,51.07,51.9,51.59400000000001
44,50.9,51.91,51.536
45,50.84,51.8,51.436
46,50.75,52.21,51.586
47,50.94,52.43,51.748000000000005
48,51.5,52.48,51.9
49,51.57,52.54,52.004000000000005
50,51.85,52.38,52.017999999999994
51,51.37,52.74,52.178
52,51.54,52.2,51.83200000000001
53,52.12,52.37,52.21
54,51.59,52.81,52.236000000000004
55,51.09,52.54,52.00599999999999
56,51.81,52.65,52.36400000000001
57,52.03,52.55,52.358000000000004
58,52.03,52.6,52.274
59,52.26,52.54,52.402
60,51.87,52.88,52.39399999999999
61,52.21,53.04,52.49400000000001
62,52.3,53.19,52.60600000000001
63,52.1,52.96,52.58
64,52.34,53.56,52.85999999999999
65,52.33,53.56,52.898
66,52.32,53.44,52.664
67,51.96,53.16,52.596000000000004
68,52.0,53.38,52.732000000000006
69,52.49,53.44,52.94200000000001
70,52.46,53.57,52.94000000000001
71,52.43,53.1,52.782000000000004
72,52.72,53.19,52.922000000000004
73,51.6,53.56,52.812
74,52.38,53.78,52.974000000000004
75,52.17,53.28,52.85
76,52.52,53.73,53.09400000000001
77,51.9,53.37,52.760000000000005
78,52.74,53.28,53.086
79,52.76,53.58,53.124
80,52.79,53.63,53.136
81,52.87,53.95,53.322
82,52.67,53.58,53.077999999999996
83,52.77,53.79,53.24400000000001
84,52.88,53.53,53.184000000000005
85,52.46,54.0,53.358000000000004
86,52.7,54.02,53.2
87,52.86,54.03,53.379999999999995
88,53.14,53.62,53.288
89,53.09,53.57,53.318000000000005
90,53.19,53.88,53.488
91,53.1,53.86,53.534000000000006
92,52.97,53.69,53.4
93,53.45,53.6,53.524
94,53.41,53.93,53.733999999999995
95,53.35,53.7,53.52
96,52.88,53.84,53.434000000000005
97,53.41,53.77,53.576
98,53.19,53.83,53.553999999999995
99,53.3,53.82,53.622
100,53.39,53.98,53.696000000000005
