epoch,min,max,mean
0,2.2992348670959473,2.3059797286987305,2.3024336814880373
1,2.2462382316589355,2.2558743953704834,2.2518741369247435
2,1.9490212202072144,1.9717870950698853,1.9614622354507447
3,1.6738263368606567,1.7240443229675293,1.6934491515159606
4,1.641172170639038,1.6811010837554932,1.6539115071296693
5,1.6226751804351807,1.653110384941101,1.632545006275177
6,1.6107467412948608,1.6345850229263306,1.6188872575759887
7,1.600300669670105,1.6245311498641968,1.6083885908126831
8,1.5925334692001343,1.6137813329696655,1.599207615852356
9,1.584368348121643,1.6039245128631592,1.5912800073623656
10,1.5789151191711426,1.5929443836212158,1.584489929676056
11,1.5721158981323242,1.587406873703003,1.5790783762931824
12,1.5684318542480469,1.581072211265564,1.5747137784957885
13,1.5647281408309937,1.576984167098999,1.570148265361786
14,1.560664415359497,1.5731496810913086,1.5661999464035035
15,1.5567903518676758,1.5694869756698608,1.5620573520660401
16,1.5494861602783203,1.5656980276107788,1.5581183433532715
17,1.5466722249984741,1.560789704322815,1.5542162656784058
18,1.543998122215271,1.5563783645629883,1.550734770298004
19,1.5417509078979492,1.5530931949615479,1.5475213885307313
20,1.5394376516342163,1.5495854616165161,1.5442127585411072
21,1.5374162197113037,1.5462074279785156,1.5415916919708252
22,1.534840703010559,1.5432770252227783,1.538556170463562
23,1.5321223735809326,1.540783405303955,1.5363341331481934
24,1.530540108680725,1.5386712551116943,1.534249186515808
25,1.5283894538879395,1.5364261865615845,1.5321529865264893
26,1.5269784927368164,1.534703016281128,1.530415141582489
27,1.525428295135498,1.532771348953247,1.5286399722099304
28,1.5238920450210571,1.5310828685760498,1.5270551323890686
29,1.5219988822937012,1.5291202068328857,1.5254273176193238
30,1.5201876163482666,1.5275846719741821,1.523717987537384
31,1.518783688545227,1.5258917808532715,1.5221716165542603
32,1.5173237323760986,1.5244548320770264,1.5206106305122375
33,1.515848994255066,1.5224345922470093,1.519051468372345
34,1.5144435167312622,1.5212079286575317,1.5176670908927918
35,1.513361930847168,1.519819736480713,1.5164146780967713
36,1.5125281810760498,1.5186480283737183,1.5153281927108764
37,1.5116358995437622,1.517270565032959,1.513908612728119
38,1.510113000869751,1.516196608543396,1.5127016305923462
39,1.5085785388946533,1.5153170824050903,1.5115867614746095
40,1.5076733827590942,1.5135219097137451,1.5106523871421813
41,1.5069694519042969,1.512510895729065,1.5095560669898986
42,1.506093144416809,1.511748194694519,1.5087355971336365
43,1.5054761171340942,1.5110013484954834,1.5079424619674682
44,1.5043330192565918,1.5102657079696655,1.5071155786514283
45,1.5030457973480225,1.5095380544662476,1.506344699859619
46,1.5023977756500244,1.5088130235671997,1.5056464791297912
47,1.5016331672668457,1.5078743696212769,1.5048919200897217
48,1.5010409355163574,1.5071842670440674,1.504208743572235
49,1.5004602670669556,1.506333351135254,1.5035122156143188
50,1.4998914003372192,1.5056699514389038,1.5027748942375183
51,1.4993314743041992,1.5050547122955322,1.502140176296234
52,1.4987798929214478,1.504430890083313,1.5015194177627564
53,1.4982306957244873,1.503845453262329,1.5009084224700928
54,1.4976855516433716,1.5032553672790527,1.5003071665763854
55,1.4971468448638916,1.5026969909667969,1.4997649908065795
56,1.496610403060913,1.5021363496780396,1.4992186784744264
57,1.4960731267929077,1.5016014575958252,1.498641586303711
58,1.495532512664795,1.5010666847229004,1.498108148574829
59,1.4948374032974243,1.5005543231964111,1.4975753545761108
60,1.4943468570709229,1.5000425577163696,1.4970717191696168
61,1.493841290473938,1.4995503425598145,1.4965773582458497
62,1.4933784008026123,1.4990605115890503,1.496095025539398
63,1.4929074048995972,1.4985884428024292,1.4956303477287292
64,1.4924694299697876,1.4981170892715454,1.4951485514640808
65,1.4920271635055542,1.4976615905761719,1.4946810126304626
66,1.4916131496429443,1.4972070455551147,1.4942142844200135
67,1.4911962747573853,1.4967666864395142,1.4937844395637512
68,1.490801453590393,1.4963274002075195,1.4933631062507629
69,1.4904049634933472,1.4958997964859009,1.4929650187492371
70,1.4900277853012085,1.4954713582992554,1.4925606012344361
71,1.4896489381790161,1.4950542449951172,1.4921625018119813
72,1.489288568496704,1.494638204574585,1.4917694568634032
73,1.4889259338378906,1.4942346811294556,1.491390335559845
74,1.4885772466659546,1.4938340187072754,1.4909992933273315
