epoch,min,max,mean
0,6.64,13.04,9.812
1,79.11,86.85,84.92999999999999
2,85.94,91.45,89.15800000000002
3,92.12,93.03,92.508
4,93.2,93.76,93.41499999999999
5,94.03,94.63,94.31699999999998
6,94.64,95.36,94.893
7,95.3,95.96,95.59100000000001
8,95.71,96.36,95.95800000000001
9,96.09,96.61,96.271
10,96.27,96.86,96.571
11,96.54,97.0,96.77799999999999
12,96.86,97.25,96.99699999999999
13,96.97,97.38,97.133
14,97.07,97.37,97.22600000000001
15,97.24,97.55,97.33099999999999
16,97.27,97.58,97.439
17,97.35,97.57,97.45500000000001
18,97.38,97.72,97.55599999999998
19,97.52,97.79,97.644
20,97.55,97.88,97.70000000000002
21,97.63,97.9,97.75700000000002
22,97.68,97.91,97.78400000000002
23,97.72,97.87,97.78699999999999
24,97.72,97.96,97.84700000000001
25,97.76,97.97,97.891
26,97.75,98.06,97.93200000000002
27,97.84,98.06,97.92800000000001
28,97.86,98.0,97.928
29,97.87,98.03,97.956
30,97.87,98.18,97.99300000000001
31,97.94,98.13,98.029
32,97.85,98.13,97.982
33,97.95,98.16,98.045
34,97.91,98.16,98.047
35,97.93,98.18,98.04400000000001
36,97.93,98.16,98.051
37,97.93,98.22,98.06
38,97.94,98.19,98.09299999999999
39,97.97,98.21,98.094
40,97.96,98.28,98.10699999999999
41,97.99,98.25,98.127
42,97.92,98.21,98.109
43,97.99,98.27,98.11499999999998
44,97.99,98.21,98.127
45,98.0,98.22,98.115
46,98.01,98.24,98.123
47,98.01,98.28,98.15299999999999
48,98.04,98.27,98.16499999999999
49,97.98,98.25,98.14900000000002
50,98.06,98.25,98.14000000000001
51,97.99,98.29,98.12599999999999
52,97.99,98.24,98.13799999999999
53,97.97,98.28,98.13999999999999
54,98.01,98.27,98.15899999999999
55,98.02,98.28,98.15700000000001
56,98.07,98.29,98.15900000000002
57,98.06,98.26,98.166
58,98.07,98.3,98.18400000000001
59,98.07,98.31,98.176
60,98.03,98.29,98.175
61,98.05,98.25,98.163
62,98.09,98.31,98.18999999999998
63,98.1,98.33,98.212
64,98.04,98.28,98.194
65,98.08,98.3,98.194
66,98.1,98.33,98.196
67,98.07,98.3,98.18800000000002
68,98.06,98.29,98.201
69,98.08,98.29,98.19800000000001
70,98.08,98.3,98.209
71,98.09,98.3,98.211
72,98.1,98.29,98.20599999999999
73,98.03,98.3,98.196
74,98.08,98.33,98.213
75,98.08,98.3,98.213
76,98.02,98.26,98.202
77,98.08,98.33,98.20500000000001
78,98.11,98.27,98.23599999999999
79,98.1,98.32,98.24599999999998
80,98.11,98.31,98.225
81,98.01,98.29,98.201
82,98.04,98.31,98.216
83,98.02,98.29,98.222
84,98.13,98.33,98.23799999999999
85,98.11,98.31,98.23600000000002
86,98.1,98.33,98.234
87,98.13,98.32,98.232
88,98.09,98.33,98.24300000000001
89,98.06,98.33,98.227
90,98.1,98.34,98.26599999999999
91,98.11,98.3,98.24499999999999
92,98.13,98.32,98.247
93,98.14,98.32,98.244
94,98.13,98.33,98.23200000000001
95,98.07,98.34,98.23899999999999
96,98.07,98.36,98.22500000000001
97,98.1,98.33,98.23499999999999
98,98.1,98.35,98.247
99,98.12,98.35,98.253
100,98.1,98.32,98.24299999999998
