epoch,min,max,mean
0,6.64,13.04,9.812
1,41.81,64.61,53.05500000000001
2,70.55,76.1,74.13799999999999
3,75.57,80.12,77.98400000000001
4,78.19,81.98,80.25800000000001
5,81.34,85.71,83.82700000000001
6,83.88,86.53,84.877
7,84.29,87.64,85.99000000000001
8,84.56,87.73,86.412
9,84.84,88.39,86.709
10,85.25,88.73,87.051
11,85.78,89.17,87.61999999999999
12,86.42,89.76,88.16199999999999
13,87.13,90.78,88.80799999999999
14,87.88,91.15,89.40799999999999
15,88.56,91.42,90.077
16,89.28,91.85,90.657
17,89.95,92.0,91.154
18,90.77,92.22,91.58500000000001
19,91.41,92.46,91.929
20,91.71,92.6,92.179
21,92.04,92.73,92.392
22,92.21,92.91,92.60399999999998
23,92.4,92.99,92.734
24,92.47,93.19,92.86500000000001
25,92.59,93.22,92.99600000000001
26,92.76,93.39,93.12100000000001
27,92.89,93.52,93.227
28,92.88,93.64,93.322
29,93.11,93.76,93.451
30,93.27,93.97,93.598
31,93.31,94.04,93.719
32,93.49,94.09,93.81800000000001
33,93.58,94.23,93.936
34,93.68,94.36,94.06199999999998
35,93.76,94.43,94.16399999999999
36,93.87,94.52,94.25800000000001
37,93.94,94.6,94.363
38,94.08,94.71,94.483
39,94.22,94.83,94.57500000000002
40,94.24,94.94,94.657
41,94.41,95.02,94.765
42,94.5,95.09,94.815
43,94.58,95.18,94.875
44,94.64,95.27,94.95
45,94.67,95.36,94.988
46,94.71,95.47,95.046
47,94.82,95.52,95.12100000000001
48,94.9,95.59,95.18500000000002
49,94.99,95.64,95.25399999999999
50,95.03,95.7,95.31800000000001
51,95.1,95.72,95.367
52,95.16,95.77,95.423
53,95.19,95.82,95.469
54,95.22,95.86,95.523
55,95.27,95.91,95.579
56,95.31,95.99,95.61300000000001
57,95.36,96.04,95.651
58,95.46,96.07,95.713
59,95.53,96.12,95.77000000000001
60,95.57,96.16,95.81999999999998
61,95.64,96.22,95.881
62,95.72,96.26,95.92499999999998
63,95.77,96.32,95.97599999999998
64,95.8,96.38,96.03400000000002
65,95.85,96.43,96.08099999999999
66,95.89,96.45,96.11600000000001
67,95.92,96.48,96.153
68,96.0,96.5,96.20199999999998
69,96.01,96.53,96.23399999999998
70,96.06,96.56,96.27099999999999
71,96.08,96.58,96.31200000000001
72,96.13,96.6,96.352
73,96.16,96.6,96.377
74,96.18,96.62,96.405
75,96.22,96.66,96.43699999999998
76,96.25,96.68,96.47099999999999
77,96.26,96.69,96.49900000000001
78,96.31,96.69,96.51400000000001
79,96.37,96.72,96.546
80,96.39,96.76,96.575
81,96.42,96.8,96.603
82,96.45,96.8,96.62
83,96.46,96.8,96.65099999999998
84,96.46,96.83,96.679
85,96.48,96.84,96.706
86,96.48,96.88,96.73999999999998
87,96.51,96.91,96.769
88,96.56,96.98,96.799
89,96.57,97.01,96.82300000000001
90,96.59,97.01,96.84900000000002
91,96.63,97.05,96.85400000000001
92,96.67,97.09,96.886
93,96.7,97.08,96.91499999999999
94,96.72,97.09,96.91999999999999
95,96.73,97.11,96.94200000000001
96,96.77,97.14,96.95899999999999
97,96.8,97.15,96.98299999999999
98,96.79,97.17,97.00300000000001
99,96.85,97.21,97.029
100,96.89,97.22,97.046
