losses,accuracies,cum_times
"[7.378810882568359, 2.3104700624942778, 1.811286562681198, 1.5431831240653993, 1.7364377856254578, 1.7346666157245636, 1.8761350512504578, 1.7020293593406677, 1.6850100696086883, 1.797533965110779, 1.7448737859725951, 1.892374038696289, 1.565109372138977, 1.3301834523677827, 1.4680666029453278, 1.4753232181072236, 1.4484552264213562, 1.0876991212368012, 1.5552021205425262, 1.209933203458786, 1.0191141426563264, 1.1073195934295654, 1.0210162937641143, 0.9041778236627579, 1.4204734683036804, 1.3905777990818025]","[0.03, 18.88, 40.06, 44.49, 33.02, 28.25, 39.96, 21.89, 39.43, 38.64, 40.43, 38.56, 51.05, 49.65, 53.64, 48.64, 59.45, 49.59, 49.24, 56.19, 59.8, 50.89, 66.06, 53.76, 55.52, 60.91]","[  10.01394558   61.05023956  111.68731904  151.19535542  198.91092134
  244.44060159  291.36961722  341.99132252  387.87539673  444.43461323
  498.29700804  556.58985472  603.82385349  655.98524094  713.02195096
  770.32563162  829.30012608  878.43823481  937.52968693  992.73051405
 1048.29983592 1111.58109975 1168.87882566 1228.41345572 1289.82258201
 1348.11135292]"
"[7.212403774261475, 2.156809538602829, 1.6750612437725068, 1.5777139067649841, 1.7037404000759124, 1.5912727534770965, 2.15014134645462, 1.6049243628978729, 1.531191599369049, 2.1527153074741365, 2.018399751186371, 1.7337194442749024, 1.6929555714130402, 1.5326026558876038, 1.478672730922699, 1.2420293152332307, 1.7584989428520204, 1.5441784977912902, 1.4042690217494964, 1.315809178352356, 1.2465910255908965, 1.229682832956314, 1.2582696437835694, 1.1788607478141784, 1.1642710208892821, 1.0837646454572678]","[0.02, 34.38, 38.45, 42.95, 43.42, 22.47, 34.15, 40.8, 40.81, 33.11, 36.63, 44.59, 33.24, 50.59, 42.53, 50.17, 39.44, 45.25, 48.69, 51.65, 52.98, 55.89, 43.11, 53.8, 55.49, 56.22]","[   2.04430342   46.82051373   89.16223502  140.2424314   187.93299603
  234.47285914  290.12505627  330.94592214  382.51192951  439.19966555
  493.48390746  548.14056516  601.90121484  654.36060071  708.40485597
  758.38313603  811.66086936  850.7618928   889.41949463  928.43644214
  970.12546635 1016.71171308 1065.12188101 1115.37687445 1168.88632035
 1222.80988312]"
"[7.081094264984131, 2.253328400850296, 1.8116276383399963, 1.7028491079807282, 1.6470022559165955, 1.652818149328232, 1.6028647661209106, 1.6274768650531768, 2.093766140937805, 1.8410490870475769, 1.8831980228424072, 1.5752395868301392, 1.422938698530197, 1.6712131261825562, 1.3762587666511537, 1.2635763466358185, 1.3860444128513336, 1.0832173883914948, 1.1954073548316955, 1.353264507651329, 1.0589204132556915, 1.0503415614366531, 0.6717998862266541, 0.8595380544662475, 1.2929827272891998, 0.906343960762024]","[0.45, 29.3, 35.6, 32.37, 41.1, 43.29, 44.42, 43.33, 34.44, 28.83, 39.86, 34.08, 44.79, 42.4, 54.22, 54.22, 55.76, 58.61, 62.02, 50.43, 52.92, 68.2, 70.79, 68.62, 49.64, 71.31]","[   2.04446173   53.06656432   98.64972615  148.75641322  201.73991704
  253.26213408  307.14899397  360.55220819  416.96002197  466.21268344
  521.25888157  570.12536192  618.34046412  678.31303692  733.24600148
  789.85598183  844.7452836   898.51111674  952.43141174 1012.75146317
 1069.62057924 1126.53452754 1171.96929431 1226.33687592 1285.2273035
 1339.90244031]"
