losses,accuracies,cum_times
"[7.13100004196167, 2.9344038486480715, 2.247537088394165, 1.750028920173645, 1.6716349601745606, 1.4913577079772948, 1.7115808725357056, 1.6334131002426147, 1.6345269203186035, 1.2773753881454468, 1.1756287813186646, 1.1613474369049073, 1.4316259622573853, 0.9892915248870849, 1.247031283378601, 0.8855175971984863, 0.9428399562835693, 1.0155105113983154, 0.9651528477668763, 0.98011155128479, 0.693638551235199, 0.6160746455192566, 0.5641720414161682, 0.5114081501960754, 0.46545642614364624, 0.43058464527130125, 0.40175226926803587, 0.36957972645759585, 0.34240278601646423, 0.30901085734367373, 0.27819196581840516, 0.2535678714513779, 0.22481999397277833, 0.23838420510292052, 0.22096545696258546, 0.21450650095939636, 0.18718424439430237, 0.2873347997665405, 0.4929798722267151, 1.0556585907936096, 1.105987811088562, 0.6278227686882019, 0.4414633512496948, 0.9003302991390228, 1.0095258355140686, 0.8462831974029541, 0.7709383368492126, 0.4746813476085663, 1.611307644844055, 1.5397438526153564, 1.133489716053009]","[0.02, 21.03, 27.36, 36.9, 37.06, 40.97, 42.22, 38.26, 49.39, 54.59, 56.19, 57.35, 55.69, 60.68, 60.53, 65.47, 63.72, 61.43, 58.35, 66.5, 68.08, 68.75, 69.45, 69.06, 69.32, 69.75, 69.42, 69.67, 69.51, 69.65, 69.11, 68.59, 69.08, 67.77, 68.3, 68.31, 68.04, 66.87, 64.06, 51.36, 63.04, 67.1, 68.73, 48.81, 57.8, 62.32, 58.07, 66.46, 47.71, 46.38, 65.75]","[   9.61133671   49.77226186   96.64518666  172.86002517  234.68189311
  314.14259529  387.43091321  464.11955643  545.256742    608.34905148
  683.9661994   755.7145648   838.84434938  909.64903975  994.19989085
 1066.40843105 1141.14415216 1225.0728035  1296.09269452 1364.08857632
 1391.79365373 1426.34015727 1466.92863059 1516.76297903 1557.75956368
 1585.51067877 1613.2693243  1641.03134751 1668.73105431 1702.8853066
 1737.12293458 1771.40200067 1812.05643868 1873.50461602 1929.91560698
 1957.59246731 1998.94144678 2062.54040265 2115.67635226 2186.30716658
 2254.73995328 2319.05467033 2391.65664434 2456.81772375 2536.90038824
 2612.93190622 2691.35790539 2765.09171057 2844.31804681 2920.46396589
 3003.80451608]"
"[7.27438497543335, 2.846076154708862, 2.2210763931274413, 1.8791162967681885, 1.7429747819900512, 1.70520122051239, 2.2447447299957277, 2.1287415266036986, 1.4001889944076538, 1.291046404838562, 1.1383126258850098, 1.040657138824463, 1.004053246974945, 0.9757135152816773, 0.9559402465820312, 0.936983335018158, 0.9195979952812194, 0.8988303065299987, 0.8720650196075439, 0.8534393906593323, 0.8368112802505493, 0.8222584247589111, 0.8087767720222473, 0.7935405731201172, 0.7768567442893982, 0.7649483442306518, 0.7529370307922363, 0.7413428902626038, 0.7276458263397216, 0.7131533026695251, 0.7027097702026367, 0.6871295213699341, 0.6732905387878418, 0.6602015018463134, 0.6474518537521362, 0.639849317073822, 0.6397188901901245, 0.6588404893875122, 0.6883280038833618, 0.6077370643615723, 0.6469578504562378, 0.8743129134178161, 2.3066986322402956, 1.1908579826354981, 1.0675769567489624, 1.1069653034210205, 1.3033740520477295, 0.950649082660675, 1.0720148086547852, 0.8388811945915222, 1.0359270691871643]","[0.03, 17.53, 27.38, 35.68, 38.69, 35.03, 21.91, 38.12, 48.54, 50.08, 58.76, 60.64, 61.84, 62.14, 62.67, 63.06, 63.32, 63.86, 64.29, 64.34, 64.85, 64.92, 65.03, 65.02, 65.42, 65.23, 65.57, 65.4, 65.84, 65.79, 65.85, 65.8, 65.8, 66.0, 65.94, 66.07, 65.45, 63.64, 66.17, 66.21, 64.55, 45.99, 37.4, 59.12, 56.96, 53.58, 54.53, 65.44, 59.58, 65.68, 59.37]","[2.09193015e+00 5.56667893e+01 1.10965098e+02 1.77510775e+02
 2.43069547e+02 3.20278713e+02 3.96932577e+02 4.54153508e+02
 5.32526345e+02 6.10427937e+02 6.79993695e+02 7.42174938e+02
 7.91556485e+02 8.29158813e+02 8.66187346e+02 8.93325789e+02
 9.30715980e+02 9.67106072e+02 1.00451679e+03 1.03904543e+03
 1.06676323e+03 1.09446551e+03 1.12213946e+03 1.14983405e+03
 1.17748688e+03 1.20515275e+03 1.23285054e+03 1.26701242e+03
 1.29469673e+03 1.32238646e+03 1.35005633e+03 1.37774549e+03
 1.40545045e+03 1.43313182e+03 1.46085186e+03 1.48853844e+03
 1.51588335e+03 1.56069443e+03 1.60529578e+03 1.64095490e+03
 1.70263147e+03 1.75532595e+03 1.83288723e+03 1.90618152e+03
 1.98088679e+03 2.06075279e+03 2.14308941e+03 2.22090108e+03
 2.30616162e+03 2.38677523e+03 2.46006459e+03]"
"[7.124697208404541, 3.074114990234375, 2.0401578664779665, 1.93585946559906, 1.8430232048034667, 1.8510449647903442, 1.4146793365478516, 1.2576140880584716, 1.1815992593765259, 1.127280068397522, 1.0983607769012451, 1.0699051380157472, 1.0435226917266847, 1.0135496854782104, 0.9928094387054444, 1.018592941761017, 1.0526537537574767, 1.4731577396392823, 1.5549585819244385, 1.22578763961792, 1.5553206205368042, 1.9291993379592896, 1.52200927734375, 1.1219399094581604, 1.1494243264198303, 1.4228352308273315, 1.1547999262809754, 0.7988001823425293, 0.8069161415100098, 0.6825504541397095, 0.6117970705032348, 0.5862014770507813, 0.544388222694397, 0.7262536883354187, 0.7497926831245423, 0.4827327489852905, 0.39190900325775146, 0.5702938497066498, 0.6526616871356964, 0.6116898238658905, 1.3579402208328246, 1.1266614079475403, 0.6192893266677857, 0.39046877026557925, 0.3187161087989807, 0.26002745032310487, 0.21395428776741027, 0.17057228088378906, 0.23147708177566528, 0.6106605648994445, 0.9595791816711425]","[0.09, 18.54, 32.41, 31.32, 29.72, 43.22, 51.54, 53.91, 56.34, 57.7, 58.21, 58.93, 59.5, 59.71, 60.6, 57.33, 55.05, 47.78, 54.5, 41.96, 43.36, 36.83, 40.91, 61.01, 50.89, 54.03, 65.37, 66.39, 67.9, 68.58, 69.05, 69.11, 69.26, 52.49, 65.35, 70.57, 70.1, 57.18, 67.74, 56.35, 55.3, 54.66, 70.68, 71.5, 71.44, 70.83, 71.02, 71.02, 66.66, 59.75, 58.38]","[2.05040669e+00 4.03913999e+01 1.10047965e+02 1.83736984e+02
 2.55555327e+02 3.30202687e+02 3.96693383e+02 4.61629776e+02
 5.21025336e+02 5.56400711e+02 5.83879499e+02 6.11438595e+02
 6.38980695e+02 6.72891405e+02 7.00350667e+02 7.61007943e+02
 8.20595298e+02 8.98334019e+02 9.72366823e+02 1.04190413e+03
 1.11237411e+03 1.19145333e+03 1.26295109e+03 1.34283158e+03
 1.42195720e+03 1.50377833e+03 1.56725329e+03 1.62808956e+03
 1.70131170e+03 1.76000673e+03 1.82814066e+03 1.87972203e+03
 1.91498816e+03 1.98850351e+03 2.07026661e+03 2.12636085e+03
 2.18215033e+03 2.22794491e+03 2.30373057e+03 2.38929783e+03
 2.48278588e+03 2.57384478e+03 2.65278320e+03 2.68645728e+03
 2.71712203e+03 2.75682152e+03 2.78814813e+03 2.81839555e+03
 2.86426302e+03 2.94234579e+03 3.03899354e+03]"
