epoch,min,max,mean
0,6.64,13.04,9.812
1,76.41,79.59,78.107
2,79.21,83.63,81.03
3,82.3,84.24,83.266
4,83.1,84.46,83.648
5,83.4,84.7,84.128
6,83.26,88.29,85.277
7,83.44,88.65,86.22900000000001
8,84.05,88.91,86.50899999999999
9,83.5,89.46,86.61600000000001
10,84.5,90.74,87.345
11,84.4,91.11,87.96199999999999
12,84.06,91.33,88.46000000000001
13,84.0,91.53,89.17600000000002
14,84.54,91.84,89.83399999999999
15,84.93,92.37,90.61100000000002
16,87.42,92.67,91.264
17,87.59,92.78,91.465
18,87.95,93.16,91.66
19,87.89,93.34,91.89099999999999
20,88.95,93.3,92.08599999999998
21,89.54,93.54,92.5
22,90.77,93.6,92.72
23,91.68,93.62,92.865
24,91.93,93.72,93.09299999999999
25,92.03,94.01,93.20599999999999
26,92.15,94.01,93.227
27,92.16,94.2,93.316
28,92.47,94.28,93.45400000000001
29,92.67,94.4,93.535
30,92.74,94.62,93.63600000000001
31,92.83,94.68,93.705
32,92.8,94.72,93.804
33,92.86,94.76,93.85
34,92.88,94.76,93.86999999999999
35,92.94,94.76,93.97200000000001
36,93.02,94.78,94.03899999999999
37,93.0,94.81,94.088
38,93.11,94.92,94.16
39,93.05,95.13,94.254
40,93.12,95.09,94.33399999999999
41,93.19,95.19,94.377
42,93.25,95.3,94.45299999999999
43,93.22,95.31,94.48000000000002
44,93.31,95.3,94.535
45,93.31,95.29,94.544
46,93.51,95.32,94.61399999999999
47,93.51,95.27,94.619
48,93.59,95.28,94.741
49,93.6,95.32,94.73899999999999
50,93.58,95.33,94.771
51,93.62,95.32,94.79899999999998
52,93.8,95.34,94.83999999999999
53,93.83,95.37,94.89000000000001
54,93.94,95.39,94.94
55,93.95,95.63,94.97999999999999
56,93.88,95.67,94.98
57,93.97,95.74,95.04800000000003
58,93.98,95.59,95.06000000000002
59,94.01,95.8,95.103
60,94.09,95.8,95.123
61,94.05,95.81,95.15599999999999
62,94.09,95.93,95.18499999999999
63,94.09,95.94,95.18599999999999
64,94.16,95.95,95.21499999999999
65,94.14,95.95,95.23400000000001
66,94.17,96.0,95.25800000000001
67,94.22,96.03,95.25
68,94.24,96.09,95.307
69,94.26,96.12,95.334
70,94.23,96.14,95.367
71,94.24,96.1,95.372
72,94.31,96.11,95.41600000000001
73,94.29,96.1,95.424
74,94.37,96.16,95.447
75,94.4,96.16,95.46799999999999
76,94.5,96.15,95.52199999999999
77,94.54,96.21,95.557
78,94.47,96.21,95.569
79,94.49,96.19,95.56700000000001
80,94.47,96.2,95.57099999999998
81,94.51,96.26,95.60300000000001
82,94.49,96.22,95.6
83,94.47,96.26,95.63699999999997
84,94.52,96.24,95.63
85,94.55,96.27,95.658
86,94.58,96.18,95.67300000000002
87,94.8,96.23,95.71199999999999
88,94.83,96.24,95.738
89,94.85,96.28,95.759
90,94.88,96.32,95.78699999999999
91,94.9,96.41,95.813
92,94.95,96.36,95.82199999999999
93,94.92,96.39,95.84000000000002
94,94.98,96.46,95.869
95,95.02,96.49,95.9
96,95.03,96.55,95.913
97,94.97,96.58,95.932
98,95.03,96.62,95.94500000000001
99,95.08,96.63,95.981
100,95.07,96.65,95.977
