epoch,min,max,mean
0,9.2,10.96,10.09
1,29.55,31.79,30.53
2,32.26,36.54,34.376
3,35.76,39.83,37.029999999999994
4,37.35,41.01,38.916
5,38.86,42.71,40.248000000000005
6,39.59,43.23,41.077999999999996
7,40.97,43.83,42.11
8,41.79,44.41,42.763999999999996
9,42.25,44.15,43.122
10,42.87,45.41,43.80200000000001
11,43.48,45.75,44.35
12,43.84,45.71,44.712
13,43.86,46.25,45.186
14,44.56,46.13,45.448
15,44.91,46.26,45.626
16,44.66,46.53,45.762
17,45.38,46.55,45.92
18,45.37,46.98,46.06
19,45.33,47.3,46.366
20,46.0,47.24,46.57
21,46.19,47.58,46.693999999999996
22,45.63,47.82,46.568
23,46.91,47.74,47.190000000000005
24,46.69,48.12,47.336
25,47.14,47.92,47.488
26,47.05,48.32,47.636
27,47.31,48.39,47.884
28,47.3,48.39,47.89000000000001
29,47.51,48.64,48.08
30,47.9,48.89,48.230000000000004
31,48.02,48.74,48.416000000000004
32,48.1,48.84,48.536
33,47.78,48.93,48.608
34,47.95,49.14,48.65999999999999
35,48.4,49.41,48.815999999999995
36,48.29,49.27,48.922000000000004
37,48.4,49.3,48.924
38,48.44,49.97,49.302
39,48.42,50.01,49.288
40,48.47,49.95,49.403999999999996
41,49.01,50.16,49.664
42,49.0,50.4,49.666000000000004
43,48.83,50.09,49.506
44,49.16,50.24,49.636
45,48.66,49.93,49.541999999999994
46,48.88,50.22,49.858
47,49.62,50.55,50.084
48,49.56,50.65,50.096
49,49.47,50.57,50.16199999999999
50,49.68,50.74,50.28000000000001
51,50.0,50.47,50.182
52,50.03,50.96,50.536
53,49.79,50.69,50.455999999999996
54,50.14,51.21,50.550000000000004
55,50.26,50.99,50.544
56,50.28,51.01,50.598
57,50.34,51.08,50.827999999999996
58,50.54,51.2,50.760000000000005
59,50.77,51.25,50.91
60,50.0,51.3,50.782000000000004
61,50.63,50.95,50.836
62,50.35,51.57,50.94
63,50.8,51.48,51.054
64,50.95,51.44,51.20400000000001
65,50.88,51.63,51.28000000000001
66,51.16,51.49,51.263999999999996
67,51.12,51.4,51.25
68,50.57,51.9,51.16
69,51.07,51.62,51.38000000000001
70,51.17,51.96,51.46999999999999
71,50.68,51.85,51.38000000000001
72,51.14,52.08,51.6
73,50.94,52.13,51.464
74,51.24,52.2,51.622
75,51.34,51.89,51.698
76,51.47,52.12,51.754
77,50.86,52.0,51.616
78,51.32,52.21,51.751999999999995
79,51.54,52.18,51.806
80,51.41,52.15,51.82000000000001
81,51.46,52.06,51.84000000000001
82,51.31,52.25,51.826
83,51.84,52.21,52.048
84,51.48,52.44,52.001999999999995
85,51.72,52.29,52.0
86,51.48,52.27,51.96
87,51.93,52.41,52.15
88,52.14,52.53,52.24400000000001
89,51.87,52.34,52.10799999999999
90,51.99,52.4,52.182
91,51.62,52.61,52.116
92,52.39,52.56,52.446000000000005
93,52.13,52.78,52.436
94,51.99,52.52,52.32000000000001
95,52.24,52.61,52.370000000000005
96,52.19,52.87,52.49400000000001
97,52.25,52.67,52.464
98,52.26,52.67,52.45799999999999
99,52.45,52.93,52.674
100,51.92,52.77,52.31999999999999
