Epoch,Loss,Accuracy,Time,Memory_Profiler,Memory_Allocated
1,7.12109375,0.02,12.956108999999996,0.2208404480000021,0.410738176
2,7.12109375,0.02,26.572528,0.032008192000004806,0.386745856
3,7.12109375,0.02,40.438098000000004,0.030200320000002705,0.410738176
4,7.12109375,0.02,51.956914000000005,0.006208000000004173,0.410738176
5,7.12109375,0.02,63.359406,0.006208000000005061,0.410738176
6,7.12109375,0.02,74.734639,0.006208000000003904,0.410738176
7,7.12109375,0.02,86.16005,0.006208000000005014,0.410738176
8,7.12109375,0.02,97.495646,0.006208000000004173,0.410738176
9,7.12109375,0.02,108.82557399999999,0.006208000000004839,0.410738176
10,7.12109375,0.02,120.15775899999998,0.006209024000004966,0.410738176
11,7.12109375,0.02,131.896293,0.006208000000003521,0.410738176
12,7.12109375,0.02,143.27626899999998,0.006208000000004173,0.410738176
13,7.12109375,0.02,154.62721299999998,0.006208000000005741,0.410738176
14,7.12109375,0.02,166.01970999999998,0.006208000000005949,0.410738176
15,7.12109375,0.02,177.369734,0.006208000000004173,0.410738176
16,7.12109375,0.02,188.695653,0.006208000000003729,0.410738176
17,7.12109375,0.02,200.148787,0.006208000000004173,0.410738176
18,7.12109375,24.37,211.491012,0.006778880000005119,0.410131456
19,5.265625,33.269999999999996,222.964926,0.007388160000005768,0.410131456
20,3.65234375,34.35,234.42887299999998,0.007533568000005171,0.410131456
21,2.880859375,33.879999999999995,246.434871,0.21290649600000525,0.410131456
22,2.326171875,36.620000000000005,257.76241799999997,0.10978662400000497,0.410131456
23,2.009765625,40.42,269.120215,0.03298560000000563,0.410131456
24,1.7822265625,42.19,280.50061,0.007386112000005958,0.410131456
25,1.6689453125,46.11,291.821499,0.9297720319999991,0.410131456
26,1.544921875,46.93,303.472819,0.2129064960000055,0.410131456
27,1.4755859375,49.44,314.900728,1.0423301120000057,0.410131456
28,1.3994140625,49.97,326.23007,0.05873510400000556,0.410131456
29,1.357421875,51.2,337.583855,0.007385600000005914,0.410131456
30,1.3037109375,52.01,349.52627800000005,0.007386112000012286,0.410131456
31,1.2607421875,53.559999999999995,360.856709,0.1097861120000037,0.410131456
32,1.220703125,54.26,372.291282,0.009744896000005705,0.410131456
33,1.1796875,55.35,383.637072,0.007570944000005911,0.410131456
34,1.1416015625,56.31,394.96565599999997,0.007533056000003966,0.410131456
35,1.11328125,56.44,406.34175899999997,0.03298560000000403,0.410131456
36,1.099609375,55.879999999999995,417.657491,0.2641064960000055,0.410131456
37,1.09375,57.17,428.965357,0.31458560000000607,0.410131456
38,1.0341796875,56.830000000000005,441.04929699999997,0.030765568000005662,0.410131456
39,1.0244140625,56.940000000000005,452.47065499999997,0.007385600000004895,0.410131456
40,1.0107421875,57.53,463.81832299999996,0.007586304000005645,0.410131456
41,0.97607421875,58.650000000000006,475.72193699999997,0.009744896000005183,0.410131456
42,0.943359375,56.45,487.067839,0.007385600000006307,0.410131456
43,0.97119140625,54.010000000000005,498.377157,0.05858611199999721,0.410131456
44,1.048828125,57.120000000000005,509.913065,0.01682278400000472,0.410131456
45,0.95556640625,58.63,521.298368,0.03298815999999819,0.410131456
46,0.8759765625,59.21999999999999,532.690987,-0.10683289600000184,0.410131456
47,0.84716796875,60.74,544.0209309999999,0.007385600000009466,0.410131456
48,0.78369140625,60.550000000000004,555.3577019999999,0.11214592000000427,0.410131456
49,0.74462890625,60.84,566.7110439999999,0.007585792000005296,0.410131456
50,0.7001953125,60.660000000000004,578.0536239999999,-4.630694400000013,0.410131456
51,0.685546875,59.75,590.0243599999999,0.0073856000000049275,0.410131456
52,0.66650390625,59.330000000000005,601.4007839999999,0.0073866240000048005,0.410131456
53,0.66064453125,58.24,612.7436869999999,0.007387647999999507,0.410131456
54,0.6845703125,59.040000000000006,624.0522419999999,0.22234572800000493,0.410131456
55,0.62744140625,60.31999999999999,635.9925389999999,0.21291059200000592,0.410131456
56,0.5595703125,60.86,647.3260359999998,0.007388160000005768,0.410131456
57,0.50634765625,59.46,658.6196699999998,0.05858560000000432,0.410131456
58,0.5205078125,60.650000000000006,669.9580449999999,0.01210470400000474,0.410131456
59,0.442626953125,60.39,681.9759989999999,0.03298560000000498,0.410131456
60,0.456787109375,59.760000000000005,693.3436049999999,0.007385600000006038,0.410131456
61,0.423583984375,58.19,704.6744469999999,0.007385600000005863,0.410131456
62,0.47314453125,59.11,716.0160049999998,0.01682278400000578,0.410131456
63,0.443603515625,57.79,727.9272239999998,0.007385600000005131,0.410131456
64,0.485107421875,58.60999999999999,739.2612929999998,0.0073856000000053395,0.410131456
65,0.413330078125,59.69,750.5670379999998,0.05858662400000405,0.410131456
66,0.340576171875,60.64000000000001,762.0638529999998,0.01682278400000605,0.410131456
67,0.282958984375,60.4,773.3926039999998,0.16098560000000547,0.410131456
68,0.2454833984375,60.709999999999994,785.4479469999998,0.007385600000005958,0.410131456
69,0.197021484375,61.029999999999994,796.7944479999998,0.0075857920000061045,0.410131456
70,0.1593017578125,61.11,808.1437269999998,0.007425536000005191,0.410131456
71,0.12213134765625,61.28,820.1767469999998,0.007385600000004895,0.410131456
72,0.1005859375,61.56,831.5153079999998,0.00738560000000507,0.410131456
73,0.07000732421875,61.24000000000001,842.9057369999998,0.03298969600000392,0.410131456
74,0.0555419921875,60.95,854.1284039999998,0.05636505600000427,0.410131456
75,0.0433349609375,61.370000000000005,865.4400089999998,0.10978560000000578,0.410131456
76,0.0310211181640625,61.199999999999996,877.1585849999998,0.21290649600000586,0.410131456
77,0.024200439453125,61.41,888.5371109999998,0.0073856000000048,0.410131456
