losses,accuracies,cum_times
"[7.13100004196167, 2.6661495208740233, 1.8355528116226196, 1.8295069932937622, 2.0227956771850586, 1.8648102521896361, 1.3688955783843995, 1.2376861333847047, 1.1937708377838134, 1.2000523567199708, 1.1863133430480957, 0.9634577035903931, 0.9628006100654602, 0.8000472903251648, 1.3499828457832337, 1.1467122554779052, 1.0812121391296388, 0.9009734869003296, 0.7591760396957398, 0.9499411106109619, 0.6321648359298706, 0.49423070549964904, 0.3678287029266357, 0.30805328488349915, 0.24366968274116516, 0.20010083615779878, 0.1798255056142807, 0.1390169531106949, 0.10647893249988556, 0.11453163921833039, 0.170717853307724, 0.13294629007577896, 0.1727829545736313, 0.22556929141283036, 0.5511822044849396, 0.6022360682487488, 0.6486934781074524, 0.7519925355911254, 0.6418042480945587, 0.20099731683731079, 0.07300672829151153, 0.12491923943161964, 0.4399680823087692, 0.6863847851753235, 0.41750297546386717, 0.654589980840683, 0.5184335470199585, 1.1315649509429933, 1.1223013877868653, 0.7693837881088257, 0.5223926484584809]","[0.02, 27.27, 33.42, 40.37, 32.01, 42.17, 51.31, 54.11, 52.51, 54.97, 51.75, 60.97, 53.95, 63.9, 47.78, 57.06, 61.57, 58.8, 64.13, 67.56, 66.18, 70.02, 69.79, 70.3, 69.83, 69.68, 69.8, 69.22, 69.37, 66.86, 67.65, 68.19, 66.86, 62.21, 64.42, 66.17, 59.65, 60.46, 66.03, 69.85, 69.49, 63.66, 57.03, 62.58, 65.54, 61.87, 65.0, 49.75, 57.55, 61.92, 63.27]","[   9.63523841,48.16516137,98.10678172,159.05137444,226.23899508,275.145257,346.75536704,409.44776416,480.01643991,543.28491592,613.31356859,686.78410506,760.24561286,820.35945821,886.73528314,972.21273971,1055.91421151,1124.86253452,1196.60791802,1274.65138006,1350.84252954,1402.90426397,1445.91602492,1481.86806369,1515.55913901,1543.27903867,1571.16945314,1604.72957778,1644.81487203,1688.75383973,1743.17009091,1800.27424574,1835.63300848,1896.27063513,1957.64782882,2035.88032413,2105.06742311,2184.47917676,2263.38578057,2332.38584638,2373.53095698,2426.61408353,2494.75363517,2565.0648272,2637.35974932,2716.86024451,2798.77824879,2861.96614456,2939.92650795,3022.70440221,3106.79886436]"
"[7.27438497543335, 2.495078945159912, 1.7840295553207397, 1.6204593420028686, 1.4943350791931151, 1.5473342895507813, 1.6052000999450684, 1.1804354429244994, 1.1327699661254882, 1.0954598903656005, 1.1739938020706178, 0.9232728123664856, 0.9191997885704041, 0.8075278043746948, 0.6032968759536743, 0.5047472894191742, 0.4314814031124115, 0.38115302920341493, 0.339086651802063, 0.29604272842407225, 0.2539849907159805, 0.2165035516023636, 0.18753923177719117, 0.1628259986639023, 0.13185017108917235, 0.11333470791578293, 0.09543795436620713, 0.08363982886075974, 0.07258045077323913, 0.061974094808101655, 0.05099689289927482, 0.04163254126906395, 0.03311696536839008, 0.028861703351140022, 0.022287337854504586, 0.01727750524878502, 0.013017108477652074, 0.010315854474902153, 0.008286468498408795, 0.006665924564003944, 0.0054440489038825035, 0.004439539089798927, 0.0036499795969575644, 0.003037836868315935, 0.0024599035736173392, 0.0019967616302892567, 0.0016523192171007395, 0.0013315752614289523, 0.001081084692850709, 0.0008678108802996576, 0.0007124475203454494]","[0.03, 35.23, 27.95, 46.56, 43.27, 34.83, 52.79, 55.72, 57.83, 58.57, 52.41, 61.83, 58.3, 65.58, 67.27, 67.67, 67.95, 67.77, 67.88, 67.62, 67.54, 67.51, 66.91, 67.12, 66.9, 67.07, 66.58, 66.61, 66.62, 66.36, 66.3, 66.03, 66.15, 65.93, 65.95, 65.98, 65.98, 65.96, 65.96, 65.86, 65.96, 66.01, 65.84, 65.75, 65.98, 65.78, 65.98, 65.7, 65.76, 65.81, 65.79]","[   2.09068489,45.0219171,96.3812685,148.09954,216.08153653,289.95559692,354.87204838,425.86642194,503.07137418,566.8493681,642.99850917,719.88760328,789.72892213,854.06582022,897.3867557,924.88654613,972.25979185,999.75124621,1027.28330326,1054.79124522,1097.06737041,1130.70463681,1164.37980199,1205.21642947,1232.72890401,1260.23797965,1287.7470324,1321.38476992,1348.92002249,1376.43982887,1403.97616363,1431.48182583,1458.99858928,1486.50789428,1526.27672815,1566.03522849,1600.06785607,1627.56158662,1655.08280277,1682.5720377,1710.14370394,1737.68426681,1765.23721194,1792.76021838,1820.28594851,1854.49894881,1881.65296173,1909.20603037,1936.71181917,1964.24077058,1997.87680125]"
"[7.124697208404541, 2.4378715991973876, 1.874594497680664, 2.288851022720337, 2.2337449312210085, 1.7669075965881347, 1.7300239086151123, 1.407894992828369, 1.1767626523971557, 0.9908712863922119, 0.899042296409607, 0.8692682266235352, 0.8480949521064758, 0.821461844444275, 0.7952400207519531, 0.7624318838119507, 0.7324620366096497, 0.7102811336517334, 0.6895241260528564, 0.6686830163002014, 0.647945499420166, 0.6327154159545898, 0.6147967219352722, 0.5962970614433288, 0.5780555367469787, 0.5586244702339173, 0.5431200623512268, 0.5277315974235535, 0.5073168396949768, 0.48957515954971315, 0.4731902122497559, 0.45882725715637207, 0.4435103118419647, 0.4295374393463135, 0.4111773669719696, 0.3991086184978485, 0.38241166472434995, 0.3699866712093353, 0.35850558876991273, 0.34614803791046145, 0.3365978538990021, 0.3242983341217041, 0.3149267613887787, 0.5598267793655396, 0.7007251262664795, 0.5593714594841004, 0.5367180466651916, 0.5724622428417205, 0.7220377027988434, 0.4477254867553711, 0.2733768463134766]","[0.09, 31.08, 40.05, 21.12, 34.09, 46.42, 38.95, 54.72, 58.99, 62.26, 63.36, 64.18, 64.24, 64.41, 64.8, 64.99, 65.27, 65.43, 65.72, 65.87, 65.73, 65.82, 65.91, 65.97, 65.82, 65.83, 66.05, 65.97, 65.98, 66.07, 66.05, 65.76, 65.85, 65.92, 66.01, 66.12, 65.95, 65.75, 65.96, 65.59, 65.75, 65.21, 65.62, 60.66, 63.96, 62.01, 63.18, 63.51, 55.29, 66.85, 67.03]","[   2.05383849,47.95241714,117.59515786,175.33296752,229.86580205,298.32890606,376.54309559,431.87282014,493.11094332,543.87915492,598.92221618,632.75897384,659.5768826,693.03211665,720.31441307,765.97545958,799.44307971,833.58939981,860.85708308,888.13726091,915.43803883,942.68150306,969.98024797,997.25712705,1024.5183928,1051.81956911,1079.13609409,1106.42541075,1139.88897061,1167.16387463,1194.43959403,1221.74169517,1249.05417705,1276.67570782,1303.98750615,1330.91355348,1364.6660161,1391.96274972,1419.24374032,1446.50282145,1479.85585117,1507.15044308,1533.82186961,1591.34242463,1645.53807402,1702.8281467,1763.48520255,1813.0692203,1877.88344336,1944.83297062,1981.01763463]"
