epoch,min,max,mean
0,6.64,13.04,9.812
1,76.56,79.71,78.28099999999999
2,79.13,85.63,81.37299999999999
3,80.64,86.96,82.537
4,80.87,88.53,84.14200000000001
5,82.28,88.86,85.682
6,82.74,90.14,86.02499999999999
7,84.41,91.45,87.386
8,86.79,91.76,88.92100000000002
9,88.49,91.96,90.32300000000001
10,89.61,92.26,91.167
11,91.0,92.7,91.95200000000001
12,91.57,93.22,92.31899999999999
13,92.18,93.3,92.67699999999999
14,92.33,93.33,92.821
15,92.59,93.59,93.035
16,92.8,93.8,93.23499999999999
17,92.95,94.04,93.464
18,93.15,94.07,93.55699999999999
19,93.24,94.17,93.64
20,93.29,94.18,93.775
21,93.52,94.23,93.939
22,93.49,94.52,94.04
23,93.63,94.64,94.16300000000001
24,93.75,94.67,94.30099999999999
25,93.96,94.78,94.429
26,94.0,94.92,94.534
27,94.17,95.04,94.65399999999998
28,94.3,95.11,94.748
29,94.27,95.14,94.817
30,94.55,95.48,94.925
31,94.57,95.51,95.02199999999999
32,94.74,95.67,95.14999999999999
33,94.71,95.59,95.19399999999999
34,94.7,95.77,95.22800000000001
35,94.89,95.83,95.386
36,94.94,95.84,95.39900000000002
37,95.0,95.93,95.447
38,95.09,95.93,95.51400000000001
39,95.13,96.0,95.57000000000001
40,95.13,96.08,95.612
41,95.14,96.01,95.63699999999999
42,95.1,96.1,95.71200000000002
43,95.24,96.12,95.751
44,95.3,96.26,95.81500000000001
45,95.36,96.24,95.87
46,95.38,96.21,95.89000000000001
47,95.47,96.28,95.934
48,95.47,96.37,95.96900000000001
49,95.48,96.39,96.004
50,95.53,96.39,96.05900000000001
51,95.56,96.43,96.06500000000001
52,95.57,96.54,96.12899999999999
53,95.72,96.55,96.199
54,95.5,96.58,96.20400000000001
55,95.68,96.58,96.24199999999999
56,95.8,96.57,96.277
57,95.83,96.6,96.312
58,95.84,96.63,96.287
59,95.92,96.63,96.324
60,95.88,96.61,96.358
61,96.04,96.66,96.404
62,96.04,96.72,96.433
63,96.06,96.73,96.44800000000001
64,96.15,96.7,96.477
65,96.2,96.73,96.508
66,96.25,96.77,96.548
67,96.27,96.78,96.58500000000001
68,96.27,96.86,96.591
69,96.32,96.85,96.637
70,96.33,96.97,96.648
71,96.33,96.98,96.698
72,96.53,97.04,96.731
73,96.51,97.05,96.758
74,96.45,97.1,96.77399999999999
75,96.52,97.09,96.79499999999999
76,96.45,97.09,96.785
77,96.59,96.97,96.792
78,96.63,96.98,96.82900000000001
79,96.69,97.05,96.84800000000001
80,96.72,97.09,96.882
81,96.71,97.12,96.897
82,96.72,97.13,96.917
83,96.71,97.13,96.901
84,96.72,97.13,96.92
85,96.74,97.14,96.923
86,96.77,97.1,96.941
87,96.8,97.17,96.978
88,96.81,97.17,96.99799999999999
89,96.82,97.24,97.018
90,96.85,97.22,97.025
91,96.85,97.24,97.047
92,96.84,97.25,97.04299999999999
93,96.83,97.24,97.049
94,96.9,97.27,97.07300000000001
95,96.63,97.26,97.04299999999999
96,96.75,97.31,97.076
97,96.72,97.29,97.08400000000002
98,96.85,97.3,97.11699999999999
99,96.85,97.28,97.10099999999998
100,96.88,97.26,97.10599999999998
