epoch,min,max,mean
0,6.64,13.04,9.812
1,41.22,64.93,52.81699999999999
2,68.3,75.26,72.541
3,71.41,76.71,74.59100000000001
4,74.08,77.98,76.22900000000001
5,75.61,79.19,77.61800000000001
6,77.12,79.8,78.54099999999998
7,77.78,82.52,80.09200000000001
8,80.57,83.12,81.872
9,80.92,83.48,82.34
10,81.06,83.72,82.543
11,81.27,83.98,82.864
12,81.51,84.08,83.022
13,81.74,84.35,83.2
14,81.87,84.69,83.32699999999998
15,81.93,85.08,83.458
16,82.19,85.18,83.66799999999998
17,82.66,85.83,84.08199999999998
18,82.79,87.31,84.556
19,83.07,87.97,85.239
20,83.21,88.07,85.35100000000001
21,83.36,88.14,85.49300000000001
22,83.52,88.23,85.53599999999999
23,83.63,88.27,85.583
24,82.76,88.37,85.73499999999999
25,82.72,88.43,85.838
26,84.13,89.07,86.40100000000001
27,84.19,89.0,86.431
28,84.19,88.97,86.463
29,84.19,91.45,87.381
30,84.26,91.48,87.557
31,84.99,91.41,87.83200000000001
32,84.99,91.52,87.866
33,84.98,91.55,87.921
34,85.02,91.57,88.19800000000001
35,85.03,91.56,88.428
36,85.08,91.58,88.733
37,86.21,91.58,89.14899999999999
38,86.43,91.61,89.259
39,86.66,91.62,89.357
40,86.84,91.61,89.453
41,86.95,91.64,89.547
42,87.06,92.2,89.69599999999998
43,87.16,92.2,89.79800000000002
44,87.73,92.24,90.39000000000001
45,87.92,92.27,90.485
46,88.02,92.29,90.562
47,88.65,92.36,91.034
48,88.69,92.55,91.11399999999999
49,88.72,92.52,91.279
50,90.11,92.98,91.62
51,90.32,93.06,91.90799999999999
52,91.36,93.22,92.27799999999999
53,91.49,93.16,92.31800000000001
54,91.5,93.17,92.354
55,91.56,93.19,92.381
56,91.59,93.33,92.53200000000001
57,91.64,93.35,92.63
58,91.69,93.53,92.697
59,91.73,93.52,92.775
60,91.77,93.55,92.814
61,91.77,93.6,92.895
62,91.83,93.6,92.96300000000001
63,91.81,93.68,93.04100000000003
64,92.51,93.65,93.179
65,92.53,93.69,93.24199999999999
66,92.55,94.08,93.29999999999998
67,92.52,94.13,93.362
68,92.5,94.17,93.37500000000001
69,92.52,94.19,93.394
70,92.85,94.22,93.46900000000001
71,92.9,94.22,93.49699999999999
72,92.93,94.24,93.529
73,92.93,94.43,93.647
74,92.99,94.49,93.68599999999999
75,93.01,94.54,93.736
76,93.06,94.58,93.772
77,93.08,94.58,93.78
78,93.11,94.61,93.82300000000001
79,93.33,94.61,93.881
80,93.63,94.65,94.00599999999999
81,93.65,94.65,94.07199999999999
82,93.69,94.64,94.114
83,93.7,94.64,94.162
84,93.7,94.65,94.17699999999999
85,93.7,94.66,94.211
86,93.7,94.68,94.311
87,93.71,95.14,94.374
88,93.76,95.14,94.52199999999999
89,94.02,95.13,94.546
90,94.03,95.1,94.55499999999999
91,94.08,95.09,94.56900000000002
92,94.1,95.07,94.604
93,94.06,95.1,94.627
94,94.09,95.1,94.649
95,94.11,95.13,94.696
96,94.2,95.21,94.784
97,94.12,95.27,94.8
98,94.43,95.26,94.90599999999999
99,94.56,95.27,94.95
100,94.68,95.27,94.97599999999998
